No.,District,Code,Headquarters,Estd.,Predecessor,Area (km2)[35],Population[35],Pop. density (/km2),Divisions[36],Taluks[36],Assembly constituencies,Lok sabha constituencies,Map
20,Pudukkottai,PUD,Pudukkottai,14-Jan-74,Thanjavur and Tiruchirappalli,4847.8,1618345,334,Aranthangi Illuppur Pudukkottai,Alangudi Aranthangi Avadaiyarkoil Gandarvakottai Illuppur Karambakkudi Kulathur Manamelkudi Ponnamaravathi Pudukkottai Thirumayam Viralimalai,Alangudi Aranthangi Gandarvakottai Pudukottai Thirumayam Viralimalai,Karur Ramanathapuram Sivaganga Tiruchirappalli,
21,Ramanathapuram,RAM,Ramanathapuram,1-Nov-56,,4243.1,1353445,319,Paramakudi Ramanathapuram,Kadaladi Kamuthi Kilakarai Mudukulathur Paramakudi Rajasingamangalam Ramanathapuram Rameswaram Tiruvadanai,Mudukulathur Paramakudi Ramanathapuram Tiruvadanai,Ramanathapuram,
22,Ranipet,RAN,Ranipet,28-Nov-19,Vellore,2234.3,1210277,542,Arakkonam Ranipet,Arakkonam Arkadu Kalavai Nemili Sholinghur Walajapet,Arakkonam Arcot Ranipet Sholingur,Arakkonam,
23,Salem,SAL,Salem,1-Nov-56,,5245,3482056,669,Attur Mettur Salem Sankagiri,Attur Idappadi Gangavalli Kadayampatti Mettur Omalur Pethanaickenpalayam Salem Salem South Salem West Sankagiri Thalaivasal Vazhapady Yercaud,Attur Edappadi Gangavalli Mettur Omalur Sankari Salem North Salem South Salem West Veerapandi Yercaud,Dharmapuri Kallakkurichi Namakkal Salem,
24,Sivaganga,SIV,Sivaganga,15-Mar-85,Ramanathapuram,4086,1339101,328,Devakottai Sivaganga,Devakottai Ilayangudi Kalayarkoil Karaikudi Manamadurai Singampunari Sivaganga Tirupathur Tiruppuvanam,Karaikudi Manamadurai Sivaganga Tirupattur,Sivaganga,
25,Tenkasi,TEN,Tenkasi,22-Nov-19,Tirunelveli,2916.1,1407627,483,Sankarankoil Tenkasi,Alangulam Kadayanallur Sankarankoil Shenkottai Sivagiri Tenkasi Thiruvengadam Veerakeralampudur,Alangulam Kadayanallur Sankarankovil Tenkasi Vasudevanallur,Tenkasi Tirunelveli,
26,Thanjavur,THA,Thanjavur,1-Nov-56,,3396.6,2405890,708,Kumbakonam Pattukkottai Thanjavur,Budalur Kumbakonam Orathanadu Papanasam Pattukkottai Peravurani Thanjavur Thiruvaiyaru Thiruvidaimarudur Thiruvonam,Kumbakonam Orathanadu Papanasam Pattukottai Peravurani Thanjavur Thiruvayaru Thiruvidaimarudur,Mayiladuthurai Thanjavur,
27,Theni,THE,Theni,25-Jul-96,Madurai,3066,1245899,406,Periyakulam Uthamapalayam,Andipatti Bodniayakkanur Theni Periyakulam Uthamapalayam,Andipatti Bodinayakanur Cumbum Periyakulam,Theni,
28,Thoothukudi,THO,Thoothukudi,20-Oct-86,Tirunelveli,4621,1750176,379,Kovilpatti Tiruchendur Thoothukudi,Eral Ettayapuram Kayatharu Kovilpatti Ottapidaram Sathankulam Thiruvaikundam Tiruchendur Thoothukudi Vilathikulam,Vilathikulam Thoothukudi Tiruchendur Srivaikuntam Ottapidaram Kovilpatti,Thoothukudi,
29,Tiruchirappalli,TIC,Tiruchirappalli,1-Nov-56,,4407,2722290,618,Lalgudi Manachanallur Musiri Srirangam Tiruchirappalli,Lalgudi Manachanallur Manapparai Marungapuri Musiri Srirangam Tiruchirappalli West Tiruchirappalli East Thiruverumbur Thottiyam Thuraiyur,Lalgudi Manachanallur Manapparai Musiri Srirangam Thiruverumbur Thuraiyur Tiruchirappalli East Tiruchirappalli West,Karur Perambalur Tiruchirappalli,
30,Tirunelveli,TIN,Tirunelveli,1-Nov-56,,3842.4,1665253,433,Cheranmahadevi Tirunelveli,Ambasamudram Cheranmahadevi Manur Nanguneri Palayamkottai Radhapuram Tisayanvilai Tirunelveli,Ambasamudram Nanguneri Palayamkottai Radhapuram Tirunelveli,Tirunelveli,
31,Tirupathur,TIA,Tirupattur,28-Nov-19,Vellore,1792.9,1111812,620,Tirupathur Vaniyambadi,Ambur Natrampalli Tirupathur Vaniyambadi,Ambur Jolarpet Tirupathur Vaniyambadi,Tiruvannamalai Vellore,
32,Tiruppur,TIP,Tiruppur,22-Feb-09,Coimbatore and Erode,5186.3,2479052,478,Dharapuram Tiruppur Udumalaipettai,Avinashi Dharapuram Kangeyam Madathukulam Palladam Tiruppur North Tiruppur South Udumalaipettai Uthukuli,Avinashi Dharapuram Kangeyam Madathukulam Palladam Tiruppur North Tiruppur South Udumalaipettai,Coimbatore Erode Nilgiris Pollachi Tiruppur,
33,Tiruvallur,TAL,Tiruvallur,1-Jul-97,Chingleput,3444.2,3728104,1082,Ponneri Tiruttani Tiruvallur,Avadi Gummidipoondi Pallipattu Ponneri Poonamallee R. K. Pettai Tiruttani Tiruvallur Uthukkottai,Avadi Gummidipoondi Ponneri Poonamallee Tiruttani Tiruvallur,Arakkonam Tiruvallur,
34,Tiruvannamalai,TAN,Tiruvannamalai,30-Sep-89,North Arcot,6191,2464875,398,Aarani Cheyyar Tiruvannamalai,Aarani Chengam Chetpet Cheyyar Jamunamarathur Kalasapakkam Kilpennathur Polur Thandarampattu Tiruvannamalai Vandavasi Vembakkam,Arani Chengam Cheyyar Kalasapakkam Kilpennathur Polur Tiruvannamalai Vandavasi,Arani Tiruvannamalai,
35,Tiruvarur,TAR,Thiruvarur,1-Jan-97,Nagapattinam and Thanjavur,2161,1264277,585,Mannargudi Tiruvarur,Koothanallur Kudavasal Mannargudi Nannilam Needamangalam Thiruthiraipoondi Tiruvarur Valangaiman Muthupet,Mannargudi Nannilam Thiruthuraipoondi Thiruvarur,Nagapattinam Thanjavur,
36,Vellore,VEL,Vellore,30-Sep-89,North Arcot,2222.1,1614242,726,Gudiyatham Vellore,Anaicut Gudiyatham Pernampattu Katpadi Kilvaithinankuppam Vellore,Anaikattu Gudiyatham Katpadi Kilvaithinankuppam Vellore,Arakkonam Vellore,
37,Viluppuram,VIL,Viluppuram,30-Sep-93,South Arcot,3725.5,2093003,562,Tindivanam Villupuram,Gingee Kandachipuram Marakkanam Melmalaianur Tindivanam Vanur Vikravandi Villupuram Thiruvennainallur,Gingee Mailam Tindivanam Vanur Villupuram Vikravandi,Arani Villupuram,
38,Virudhunagar,VIR,Virudhunagar,15-Mar-85,Ramanathapuram,4288,1942288,453,Aruppukkottai Sattur Sivakasi,Aruppukkottai Kariapatti Rajapalayam Sattur Sivakasi Srivilliputhur Tiruchuli Virudhunagar Watrap Vembakottai,Aruppukkottai Rajapalayam Sattur Sivakasi Srivilliputhur Tiruchuli Virudhunagar,Ramanathapuram Tenkasi Virudhunagar,
