District code,State name,District Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Television,Households_with_Telephone_Mobile_Phone,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1374587,847014,1318946,1091952,226994,969871,349075,2773899,95508,786613,121064,907677,741817,906861,510507,247265,138583,103523,2657604,1481604,4139208,2598364,905306,559988,494925,12396,132969,387803,341739,173556,28171,536236,52,231,2716,258126,361033,209,137163,2003,24637,53475,78112,63641,273230,93974,115615,264829,92550,472076,120921,31633,42033,8035,2365,73691,818
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1053063,720521,1124744,851014,273730,761831,362913,1983623,99466,596317,121039,717356,501457,512965,415378,240024,136688,101934,1915619,1130103,3045722,1893706,706851,453462,417537,10191,134235,306178,362568,141351,32612,459680,99,263,904,275402,210791,388,68748,4404,20946,44083,65029,54007,241767,85034,102726,202134,58561,388588,86512,21027,27502,4930,1545,64889,602
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1742440,1384820,1542806,1226399,316407,1152285,390521,3047032,582769,344155,717566,1061721,489898,554301,552171,428121,378742,639260,3094625,1146880,4241505,2678289,1161686,685258,539667,90205,506413,607420,654614,539863,4305,380839,456,491,4561,243172,503471,1602,427563,60932,24634,59605,84239,91280,406787,158994,156513,253877,77688,560253,129383,33210,43679,7923,2546,89276,603
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878,1204710,867393,337317,644869,559841,2200849,247856,705025,73393,778418,540661,538301,477689,270775,182823,153041,2178952,1286726,3465678,2116007,776583,506583,509053,13483,130197,363829,297883,112567,52141,430363,216,497,819,341166,172901,719,125452,10160,22027,47037,69064,57790,256164,90533,107841,219117,70008,401983,109774,25849,34820,6641,2330,67776,647
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,654827,437850,592267,494545,97722,474686,117581,1292937,88081,316647,94843,411490,270550,330084,257279,184298,115069,110391,1277039,710960,1987999,1224584,411153,246795,204261,6765,87314,198066,182879,113500,1018,255543,57,123,860,158537,108322,210,49109,8522,8334,20553,28887,26464,115712,40019,49229,115249,48208,204757,51502,14583,19744,3878,1283,32053,359
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,603596,413491,524676,430934,93742,419027,105649,1131940,61491,299785,65985,365770,237853,283674,263749,175582,107628,95072,1170752,543034,1713786,1069916,361028,223535,178143,6011,64187,174734,157415,85404,1521,226228,67,190,942,146596,72121,297,47225,2930,7399,18880,26279,24713,109000,38071,46216,103765,39694,186544,43298,11331,14941,2745,865,33955,325
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,623583,438420,506072,413713,92359,361588,144484,1075738,113098,265643,85483,351126,171216,292852,298700,195192,121283,118571,1211214,397708,1608922,979633,362026,237786,194564,7736,84543,177997,166012,93434,13009,199665,122,240,843,138521,92232,234,58927,7502,8175,18470,26645,23209,112947,40294,49444,101056,34685,178289,50264,13365,17505,3190,950,29275,290
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,546198,384638,442023,364543,77480,325721,116302,937522,65479,255836,58438,314274,133123,291837,282449,168866,101542,79012,1063360,276224,1339584,856336,320763,202054,179939,5088,60174,152099,150177,72893,14725,185001,34,81,490,122958,85631,117,46112,1947,7160,17368,24528,22137,106340,38295,45908,91569,25933,170264,41165,9720,12540,2204,616,24401,259
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,692964,477279,628864,493991,134873,448651,180213,1167320,49753,363933,41323,405256,235341,344866,341845,223529,157167,97740,1406418,475166,1881584,1100820,415918,276272,220794,12752,65556,184973,197245,89107,21093,251016,120,218,513,167007,85797,287,53449,1260,9635,24395,34030,31923,146889,53074,61892,118132,30422,225671,54270,11525,14806,2502,779,34726,343
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3243022,1829179,1413843,1572232,1299871,272361,1229166,343066,3009036,517271,364869,684906,1049775,338620,766906,794860,651228,515772,396565,3490778,676306,4167084,2630411,1209554,731795,518736,51177,469346,571582,647223,520077,9901,532030,362,603,3197,312338,415726,1421,271007,111980,23501,57510,81011,90760,414383,161359,162264,255733,70021,563353,129879,31553,40549,6956,2040,87367,1175
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,653430,421766,620764,470969,149795,420266,200498,1069210,104176,304856,91565,396421,169207,327534,282919,167911,104699,106888,1169557,461666,1631223,1002817,410090,274954,162840,7009,90428,199931,206627,114634,10397,221913,80,84,789,136422,107861,109,52267,1875,8108,18352,26460,22595,118550,43404,52551,102078,40131,170673,65432,20490,26905,4837,1578,24209,323
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1304513,783705,520808,814914,565357,249557,560041,254873,1183689,183340,309592,195321,504913,184997,370685,341371,186348,99814,92586,1287584,483088,1770672,1171301,510728,308331,194290,18860,163900,270128,238492,147302,32093,223433,293,416,2140,152745,135508,757,93390,8362,10448,27819,38267,32978,173991,69717,71296,108729,37233,223646,72987,21485,27675,4792,1398,33912,350
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,641191,397586,243605,503351,326783,176568,357033,146318,718241,77082,258013,43819,301832,185575,202692,154118,61543,32237,34658,674358,509536,1183894,793551,265080,159666,118185,5511,53524,126482,84273,42178,31045,163443,72,237,111,115487,36945,97,20604,2110,7680,20378,28058,18155,94058,33251,42652,74048,21714,145245,40139,11857,15312,2667,788,17182,239
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174,443655,308527,135128,290375,153280,660630,55929,256081,55300,311381,159593,238344,211029,103334,59914,59612,835920,364848,1200768,660774,260368,181109,99240,3791,48564,137792,120259,68771,9366,158137,99,255,543,120508,47183,90,40314,588,7811,17299,25110,17595,88512,31830,39087,73892,22044,139501,37669,9673,12348,2119,556,20040,240
169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,349676,237153,112523,238712,110964,526282,42936,198298,48525,246823,119002,141201,131165,60400,33810,37165,526669,403649,930318,527067,201394,137393,85723,5755,35422,113025,70567,41692,25175,117760,123,191,351,97343,19921,179,18115,1170,6219,14004,20223,12647,65642,23423,29572,57356,20253,104537,31794,8899,11462,2001,562,15681,161
170,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,630626,372311,701689,485314,216375,483232,218457,1097721,73522,378056,67569,445625,325773,415195,249238,114783,61702,63112,1235531,588025,1823556,1120432,408527,265310,183817,5202,52233,174698,133063,90787,20876,247074,33,466,477,187378,67368,157,51777,1547,12166,26640,38806,27123,127003,44496,55384,116889,40039,216154,54436,14711,19761,3821,1229,32386,348
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,330339,200733,394197,254977,139220,282614,111583,597533,41046,207237,23558,230795,168472,174106,124256,69641,40266,35826,616227,383908,1000135,638046,214228,136669,105264,2805,27006,84775,44786,27623,18242,122159,107,557,671,97672,26224,165,23226,1380,5565,12930,18495,12840,62599,21803,27956,62762,23602,108770,30004,8290,11257,2248,719,17427,186
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,911003,601163,1063929,713736,350193,670156,393773,1568804,75263,558807,77733,636540,409875,463642,376472,227119,134445,116445,1738210,895178,2633388,1624830,603831,395547,331499,16758,97968,271445,211608,117023,42732,358433,178,329,834,267526,88566,425,65256,3370,14416,34068,48484,41991,194029,68525,83513,176529,53979,314716,80304,18567,24098,4235,1296,53903,539
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,1931559,1121381,810178,1066601,704569,362032,553013,513588,2142540,140538,711085,41701,752786,427626,558350,456752,332742,238011,197846,2231374,1059636,3291010,2002569,703727,492097,447696,15781,135185,397265,186336,74799,69561,341391,394,459,2223,291932,155290,671,113727,4594,14513,33056,47569,36506,184070,62623,84941,199577,103038,305243,119337,42824,63749,14405,6520,45925,602
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,813424,507279,306145,639086,402644,236442,415312,223774,960510,43753,349856,30764,380620,184229,253910,180825,146757,89011,45341,905188,670750,1575938,1034099,336401,210556,210669,4403,52946,154650,92723,46197,15274,232180,86,228,205,171705,33644,180,26654,2011,9311,22015,31326,23683,103416,35056,44677,105957,35694,196096,41806,10001,13548,2564,983,24943,312
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387,2111907,1426110,685797,1286732,825175,3842484,391542,983266,265304,1248570,823863,934881,738076,596615,502826,428871,4061896,1756098,5817994,3764404,1335224,818137,701941,41965,355913,616743,373803,278760,128221,498927,924,1770,4592,384892,322833,1316,252326,15852,20804,58163,78967,68360,338762,118881,151521,325893,154931,549894,179798,61206,91505,20425,9874,77356,1075
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1010518,681940,1192850,871241,321609,834294,358556,2067849,108116,635840,79068,714908,533140,420824,350564,197780,132332,113799,1760720,1540841,3301561,2043335,709494,445269,446335,11935,116157,306578,305263,103904,17032,434135,149,332,2259,239391,264344,361,110385,1497,23631,47390,71021,55909,226368,78754,91705,197742,72586,376659,91916,23021,30817,5792,2004,68325,564
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,838339,612562,831209,597888,233321,496579,334630,1639787,127754,510378,79288,589666,356093,361114,347114,231129,176303,179996,1670696,981915,2652611,1534832,543148,367332,346448,15426,99531,276720,238464,94981,5435,317094,131,322,1667,153953,229802,302,90607,2351,15511,28653,44164,34082,156671,54349,68240,151205,65789,252763,83756,25796,35595,7160,2639,45715,513
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263,787398,547406,239992,440998,346400,1610490,99581,501559,65031,566590,342667,392873,353570,247028,172872,194387,1718855,813502,2532357,1499494,515229,367234,311614,9813,61470,255512,146958,67875,408,260490,107,282,3779,155590,174989,453,97529,853,8025,17701,25726,21375,114866,38671,54820,140623,83242,206450,82674,31457,46756,10338,4961,28577,511
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1300248,939654,1242632,869838,372794,690967,551665,2554485,233701,839737,49891,889628,460210,637015,526973,306046,188848,176414,2310783,1118891,3429674,2376875,828222,580164,526011,18382,135697,440274,278962,101900,47690,415868,317,476,2001,300237,227335,574,154994,4090,19782,38990,58772,44428,215780,74378,96974,231911,121462,350025,142503,51197,74847,16356,7294,60550,730
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,878285,520083,1152160,895576,256584,743452,408708,2335571,85814,698520,61742,760262,447648,493760,215939,104762,65106,47690,1381933,1920966,3302899,2275746,754346,446242,397685,13451,71676,270422,223076,93687,8513,391416,176,277,2008,220216,326580,179,187350,2502,19848,54608,74456,60205,231407,80324,90878,211072,78243,403826,96648,26960,37809,7903,2946,56895,584
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464,423313,276700,146613,403755,293981,109774,232762,170993,713606,20419,248770,8504,257274,155698,97160,56242,29567,19744,15648,375594,701550,1077144,723443,245098,143979,134274,2286,15978,92836,73503,22439,11231,98077,86,122,460,71920,96629,132,74873,134,6971,17824,24795,17787,68365,23651,26927,64039,29077,115235,36086,11674,17125,3761,1690,17830,289
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,544943,323414,760253,534332,225921,458727,301526,1388412,57400,410070,35768,445838,379253,227932,122911,65516,40633,37109,876131,1332817,2208948,1415213,442339,283947,232350,6167,34497,194750,141528,48201,12517,219396,73,233,1174,104918,191185,199,85828,516,11062,22200,33262,23290,96621,33057,40274,116044,75064,181378,69285,26229,40851,9626,4996,29477,393
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1034181,645813,1170552,855848,314704,739663,430889,2263367,104084,673578,52794,726372,678171,425584,305644,192664,144067,118176,1873028,1620782,3493810,2223078,734903,464584,417980,13053,78099,346478,248745,66742,2818,338812,203,614,2406,217341,288071,559,188037,1831,17296,35174,52470,40008,178376,61929,76439,194853,109862,303072,116129,43205,64383,14623,6555,51977,637
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1228926,740718,488208,878898,583633,295265,447943,430955,1680399,93088,480165,33348,513513,676987,335977,204260,110056,73465,56516,1467787,1217027,2684814,1690396,504002,359977,282280,9664,56722,274281,148764,47813,899,211708,195,469,2540,169064,174044,429,158749,851,11754,23357,35111,23503,105639,35687,46449,139753,95974,202196,88924,34316,52478,12261,5901,32879,454
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,819719,574064,783688,558642,225046,443724,339964,1680776,108101,513960,31065,545025,470355,349221,324085,211477,162961,143642,1674771,1021192,2695963,1574037,519265,363891,309655,11477,76856,278758,172901,62328,642,248616,123,354,2621,161329,193400,351,125645,1065,11671,21232,32903,24237,117645,39549,53859,142675,86567,211665,86134,32142,47969,10859,4968,34022,478
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,567098,387851,539469,383482,155987,265453,274016,1175714,79525,324972,27179,352151,341757,290532,205875,129442,86528,63506,1126522,683053,1809575,1108368,352395,250502,201340,6778,49191,195440,123330,38686,369,162394,120,283,1649,109340,130175,289,91688,1904,5769,12844,18613,14742,75305,24834,35729,100000,64122,143246,59397,24175,36322,8238,3909,19075,340
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,1419144,881674,537470,994253,659465,334788,439293,554960,1690450,91844,573046,34033,607079,456350,388464,308064,185236,129222,95863,1574418,1252595,2827013,1694493,595114,370573,338883,9050,84591,292220,190169,79375,299,218828,205,535,3383,189001,198951,521,196296,1835,9181,23850,33031,25467,150555,49648,75440,162847,75268,245177,100129,34497,48972,10324,4151,27423,528
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1593890,1106438,1351629,1016876,334753,746381,605248,3089266,296619,761958,189170,951128,873031,618398,560246,425913,316166,273903,3103910,1453960,4557870,2755630,992114,659677,531565,30258,255280,544038,390206,213529,934,446270,308,807,4952,262327,390464,926,238404,16143,14499,34258,48757,42604,242957,82855,117498,262941,140711,392621,157629,60398,90919,20692,9829,54197,792
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1183722,771098,1116973,804857,312116,523258,593715,2447571,127331,742324,42775,785099,836856,424892,367405,249265,170911,119625,2180924,1550315,3731239,2236842,772777,500373,432174,12849,103014,404094,266463,95139,580,378703,195,567,3962,214524,303575,382,171798,2702,9117,26079,35196,33962,194609,64329,96318,224748,104073,328791,131217,44482,65323,14535,6306,33295,692
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,1079288,795951,876246,639073,237173,455382,420864,2224700,150001,597778,67928,665706,602403,473097,449571,372031,277548,194341,2392325,1130108,3522433,1946336,664708,481219,353180,13388,122308,379700,257442,100060,334,357083,110,293,3210,165652,274621,371,109265,1942,7466,18005,25471,23641,142877,46678,72558,184244,119972,244457,118348,50948,79868,18894,10026,29891,633
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503,1372032,941890,430142,784272,587760,3241881,183381,891024,80434,971458,831966,1344726,879745,489060,312571,158303,4024458,1218146,5242604,2930243,965876,699954,521004,20757,159910,500400,299061,135150,1647,545388,170,726,5844,294403,316002,943,102270,5457,11679,27718,39397,33648,184249,60499,90102,255784,180500,330071,168352,71109,110081,25639,13333,51426,870
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,773082,589962,696747,475413,221334,396438,300309,1509221,149908,352207,99321,451528,344570,410737,320743,256784,209493,150462,1708560,659237,2367797,1402738,467343,323260,228921,7411,82073,232564,160149,87874,407,273408,64,233,3188,109751,187140,242,42095,3106,4729,12661,17390,17062,94455,31074,46319,129170,79818,177926,76849,29470,44690,10202,5018,21368,402
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1160960,802630,1019483,723060,296423,569522,449961,2220291,119972,564927,64454,629381,436021,515010,443440,409484,323582,200434,2348254,1032533,3380787,1975934,724362,502628,324245,10846,115533,342823,217983,124786,2135,395909,163,455,5316,130319,305850,731,75078,1502,7886,21363,29249,27690,153571,51466,74415,187993,111627,256651,118486,47236,73448,17231,8981,33855,611
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,2731677,1565394,1166283,1437375,934157,503218,896547,540828,3056829,181467,926088,80582,1006670,665376,939616,769693,520111,353996,256398,3531099,1344789,4875888,2826453,927026,689979,534790,22876,211780,515736,239695,131852,50739,466045,476,830,5765,325066,238355,787,135340,10919,14453,32514,46967,37350,195412,65655,92407,249212,175397,321922,168722,75638,121720,29276,16806,54624,845
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1293553,903996,1204602,808700,395902,766881,437721,2415666,105767,700173,61467,761640,566504,691057,563310,449909,334003,186306,2803884,1008996,3812880,2234593,774130,556273,383511,21169,139187,375976,216165,116171,18183,434210,144,259,6163,213032,213999,237,58602,3697,8780,22682,31462,28154,159312,52985,78173,204877,129310,268989,129252,54760,84572,19787,10025,42148,702
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,699454,475152,652543,462971,189572,341927,310616,1300213,99602,344937,50822,395759,295979,367768,276638,196240,135962,88299,1368472,543247,1911719,1222695,437000,287767,220298,7313,109887,190317,129320,74557,41519,208048,131,374,1491,128710,103011,361,38260,1895,5137,15746,20883,18937,103566,35149,49480,111692,58577,164090,68585,27671,42299,9715,4913,19744,383
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1389116,1014787,1220708,921234,299474,920761,299947,2456133,336056,438935,316129,755064,467782,608174,557052,447926,351391,281652,2748818,906367,3655185,2260457,856070,531549,412569,24216,309911,398076,301753,295357,39259,305591,248,245,2712,167334,278202,501,187518,33999,8695,25178,33873,37527,203836,73153,93156,195585,108410,305032,118204,47717,73989,17459,8813,44479,616
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,546782,363364,470608,343155,127453,286978,183630,1107605,83220,293510,45997,339507,257527,291926,232072,167524,120944,86533,1166830,552958,1719788,1032294,331743,209920,167822,6910,72638,149061,68092,41397,42579,140985,210,141,654,110940,60737,262,31323,4695,3872,11418,15290,12533,64119,21347,30239,78666,61610,110327,50767,25329,43125,10626,7170,15466,307
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,1428683,865837,562846,881996,613061,268935,537091,344905,1614974,145997,465152,77963,543115,361642,421577,340261,232189,177109,140668,1691126,868542,2559668,1590528,552177,346773,309079,10205,136132,237437,131018,102361,62226,274880,1218,968,853,190622,98038,685,44170,7808,9304,26529,35833,28534,146756,50460,67762,139889,68341,235797,80665,29306,44335,9941,5088,30022,489
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,601988,383720,730399,463611,266788,397196,333203,1132160,95582,337048,91040,428088,306218,297226,212565,120822,82614,63846,1092648,745126,1837774,1203938,418914,237866,203774,10279,80712,165535,90701,78826,57297,210788,1027,3847,1046,158004,71772,1111,47641,6067,10860,28266,39126,27373,136612,48023,61216,116835,34345,217864,61110,15940,21647,4199,1508,26297,323
201,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,647042,408160,545984,440244,105740,415476,130508,1228496,69591,334246,67752,401998,238019,214091,201984,178434,119665,88607,1048892,718310,1767202,1149372,383707,237427,189111,6644,79090,200961,141689,57574,1322,220868,21,80,1093,130131,120195,76,66179,9330,6907,17777,24684,21331,104978,35582,48065,116471,44341,191936,53726,15420,20684,3998,1266,24128,679
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,724850,452803,272047,472765,375213,97552,354257,118508,963954,50405,271234,72490,343724,256688,193410,150247,108558,61662,48079,823625,648166,1471791,946320,301252,183434,142975,3854,53987,149712,108916,56717,1072,169022,69,191,1084,60760,158887,266,64018,2354,6889,15567,22456,18606,81947,27620,35721,92898,39195,158354,39631,10860,14214,2599,755,24297,510
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1091226,668255,1478947,999282,479665,797544,681403,2456095,57546,839514,96620,936134,1053481,543965,250243,159563,98732,70669,2182688,1710878,3893566,2544205,888205,497793,425249,10911,69056,371137,270894,112382,5830,673647,67,521,5592,282250,368844,645,19577,2006,18044,66944,84988,70446,299420,102964,126010,249111,74546,508159,109279,26324,35133,6684,2125,55494,935
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354,1737539,1260774,476765,1132789,604750,3361832,74979,1142260,101565,1243825,1280809,982506,450631,241118,121594,68781,3150588,2142757,5293345,3316422,1122340,648009,611212,19282,96546,585210,391064,179522,6973,945481,96,471,6001,430949,470416,1075,20310,2653,20306,110085,130391,115248,447128,155286,176594,329859,76925,747255,129176,26188,34713,6446,2079,73159,1194
205,BIHAR,Sheohar,656246,346673,309573,283698,171645,112053,216372,166693,49679,137804,78568,439874,10004,158484,7516,166000,128209,91277,37063,25657,16031,10091,308989,348078,657067,421241,139909,93398,73447,1410,11722,83296,52118,30398,389,145016,10,55,718,75837,57924,140,2091,371,6732,26938,33670,22278,71746,25002,24466,39484,3989,124984,8303,733,897,136,28,14705,173
206,BIHAR,Sitamarhi,3423574,1803252,1620322,1436794,885188,551606,1114583,865929,248654,753645,360938,2308991,66263,807294,49670,856964,733380,394422,196321,136500,92783,70549,1635891,1852765,3488656,2206340,739982,449035,317432,7292,61089,340890,217626,152392,2238,710373,64,302,6150,358607,251811,542,10992,3523,23067,113986,137053,102555,357069,125274,129240,210775,28186,602916,59010,7662,9470,1464,344,61687,866
207,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1340085,815253,1636938,1105947,530991,1074091,562847,2850441,113281,1047552,41234,1088786,783888,771417,520875,303114,170563,137780,2698989,2003079,4702068,2860455,1009424,611899,416574,11636,73851,486531,235903,166993,2224,859607,349,546,11240,412398,346397,1258,19775,30900,20753,102414,123167,108433,441220,157322,175465,278421,58731,681994,116811,22106,28218,4700,1412,74516,1090
208,BIHAR,Supaul,2229076,1155283,1073793,1033283,647672,385611,877682,551718,325964,472649,405033,1351394,51028,572287,27815,600102,467768,269737,157787,99530,69665,45726,1116063,1220268,2336331,1453438,495020,277610,192734,4064,26559,207212,152501,47753,1260,425676,43,265,6634,145728,273702,424,5373,12245,7736,46159,53895,53452,223470,80317,89701,141160,22279,345385,55898,9148,10961,1483,330,28560,533
209,BIHAR,Araria,2811569,1463333,1348236,1195768,727643,468125,1069893,708391,361502,696410,373483,1741676,43290,659061,44213,703274,625357,426625,206161,112955,68177,39627,1485840,1653766,3139606,1872943,612012,324091,279254,5041,40387,240730,225043,52549,718,543136,34,611,7171,213049,317350,511,8056,54827,12500,67876,80376,73656,277849,97412,106781,175194,28036,459413,47807,6416,7782,1067,299,46453,708
210,BIHAR,Kishanganj,1690400,866970,823430,745056,439921,305135,529064,421192,107872,384416,144648,1161336,58718,401793,43357,445150,356401,235779,89025,42778,25989,15386,769119,945397,1714516,1139615,361114,188447,177516,2436,28736,130592,108435,34858,7220,315573,17,527,7046,159662,142448,323,4264,29710,12920,37799,50719,44945,153832,53447,55440,108403,22757,276414,16858,2134,2594,382,78,39845,402
211,BIHAR,Purnia,3264619,1699370,1565249,1332326,805261,527065,1143318,803275,340043,776385,366933,2121301,86058,712847,85749,798596,668690,360243,184327,119259,83226,59996,1486857,1798786,3285643,2155512,696556,372692,291919,8390,63200,258284,234013,87774,1415,606448,37,1390,16517,273244,314626,836,12331,59597,17045,75176,92221,82784,304012,107266,113962,205154,39326,517258,53373,8430,10296,1478,388,59786,822
212,BIHAR,Katihar,3071029,1600430,1470599,1280190,762256,517934,1013566,760522,253044,667602,345964,2057463,60900,668232,69838,738070,472616,444260,237243,133811,88498,57114,1445438,1705551,3150989,2054202,660403,353483,285976,5118,60110,239686,200849,108018,3749,580446,61,916,15849,239547,314391,480,13810,44891,20222,71206,91428,83087,297110,105287,108736,190893,37632,505400,43516,6587,8148,1233,328,59999,732
213,BIHAR,Madhepura,2001762,1047559,954203,834577,517666,316911,777546,496046,281500,443507,334039,1224216,23236,486278,24000,510278,340813,189431,114474,99437,79891,44955,875510,1202278,2077788,1311771,444235,242382,169936,4560,23209,182773,139028,52388,1604,384905,70,148,6436,153322,218811,283,6388,9086,6090,46102,52192,52354,203093,72963,77776,126649,19067,324221,42330,6610,8126,1211,305,26324,487
214,BIHAR,Saharsa,1900661,997174,903487,804996,506374,298622,649898,456724,193174,363326,286572,1250763,41342,432651,38046,470697,348300,194897,104182,90182,64560,47051,855188,1151349,2006537,1249692,415863,233870,129847,3824,30518,166317,113421,61597,3285,349271,104,299,7281,158574,174742,308,6629,10505,5742,39031,44773,43608,179102,64222,71272,122491,21846,291291,43704,8148,10170,1600,422,23047,464
215,BIHAR,Darbhanga,3937385,2059949,1877436,1816634,1125566,691068,1223640,947927,275713,731347,492293,2713745,127442,907174,95539,1002713,672797,490534,332382,224622,152540,129597,2028545,2203198,4231743,2535344,865971,529314,320695,10325,80085,440719,247667,202524,868,771056,111,860,8972,332426,345511,1245,19499,38607,18736,97067,115803,102760,396000,141310,151930,249637,44346,634400,81916,13027,16149,2468,654,73321,994
216,BIHAR,Muzaffarpur,4801062,2527497,2273565,2509232,1487117,1022115,1547586,1195308,352278,910304,637282,3253476,180651,998694,120700,1119394,1092952,743623,419433,299475,194920,138916,2903794,1924438,4828232,3016735,1079189,697108,548802,23333,172027,547479,346386,256532,6804,874936,209,570,11837,414460,446177,1455,44121,27130,22443,104046,126489,114417,459200,164807,179976,297357,64817,702089,126765,24479,32056,5670,1907,86953,1064
217,BIHAR,Gopalganj,2562012,1267666,1294346,1382998,793905,589093,728201,539586,188615,363111,365090,1833811,69375,515925,38133,554058,540603,470828,291624,223776,123249,79109,1736879,977719,2714598,1642807,546202,370662,312727,9508,61380,316314,209045,84425,950,399026,70,229,2591,143078,255329,417,16485,786,7841,23345,31186,29960,145088,49267,65861,157982,87471,248009,89316,32551,48075,10885,4639,36327,596
218,BIHAR,Siwan,3330464,1675090,1655374,1930175,1115906,814269,932416,730396,202020,462104,470312,2398048,52935,632514,41858,674372,689880,612635,445257,355277,186817,119164,2421121,1207119,3628240,2115448,713597,498299,382782,10891,74071,401299,276680,124672,1883,518473,58,259,2685,158086,358850,413,19043,1279,10879,31553,42432,39746,191273,65249,86278,203685,107489,323877,114884,41033,61005,13821,6151,45113,734
