District Names,Population
Ganderbal   ,"297,003"
Kulgam   ,"422,786"
Kupwara   ,"875,564"
Pulwama   ,"570,060"
Shopian   ,"265,960"
Srinagar   ,"1,269,751"
Bokaro,2062330
Chatra,1042886
Deoghar,1492073
Dhanbad,2684487
Dumka,1321442
East Singhbhum,2293919
Garhwa,1322784
Giridih,2445474
Godda,1313551
Gumla,1025213
Hazaribagh,1734495
Jamtara,791042
Khunti,531885
Kodarma,716259
Latehar,726978
Lohardaga,461790
Pakur,900422
Palamu,1939869
Ramgarh,949443
Ranchi,2914253
Sahibganj,1150567
Saraikela-Kharsawan,1065056
Simdega,599578
West Singhbhum,1502338
Bagalkote,1889752
Bengaluru Urban,9621551
Bengaluru Rural,990923
Belagavi,4779661
Ballari,1400970
Bidar,1703300
Vijayapura,2177331
Chamarajanagar,1020791
Chikkaballapura,1255104
Chikkamagaluru,1137961
Chitradurga,1659456
Dakshina Kannada,2089649
Davanagere,1643494
Dharwad,1847023
Gadag,1064570
Kalaburagi,2566326
Hassan,1776421
Haveri,1597668
Kodagu,554519
Kolar,1536401
Koppal,1389920
Mandya,1805769
Mysuru,3001127
Raichur,1928812
Bengaluru South,1082636
Shivamogga,1752753
Tumakuru,2678980
Udupi,1177361
Uttara Kannada,1437169
Vijayanagara,1353628
Yadgiri,1174271
Alappuzha,2146033
Ernakulam,3427659
Idukki,1093156
Kannur,2615266
Kasaragod,1390894
Kollam,2659431
Kottayam,1983573
Kozhikode,3249761
Malappuram,4494998
Palakkad,2952254
Pathanamthitta,1172212
Thiruvananthapuram,3355148
Thrissur,3243170
Wayanad,846637
Kargil,140802
Leh,133487
Changthang,
Drass,
Nubra,
Sham,
Zanskar,
Ahmednagar,4543159
Akola,1813906
Amravati,2888445
Aurangabad,3701282
Beed,1200334
Bhandara,2585049
Buldhana,2586258
Chandrapur,2204307
Dhule,2050862
Gadchiroli,1072942
Gondia,1322507
Hingoli,1177345
Jalgaon,4229917
Jalna,1959046
Kolhapur,3876001
Latur,2454196
Mumbai City,3085411
Mumbai Suburban,9356962
Nagpur,4653570
Nanded,3361292
Nandurbar,1648295
Nashik,6107187
Osmanabad,1657576
Palghar,2990116
Parbhani,1836086
Pune,9429408
Raigad,2634200
Ratnagiri,1615069
Sangli,2822143
Satara,3003741
Sindhudurg,849651
Solapur,4317756
Thane,8070032
Wardha,1300774
Washim,1197160
Yavatmal,2772348
Bishnupur,240363
Thoubal,420517
Imphal East,452661
Imphal West,514683
Senapati,354772
Ukhrul,183115
Chandel,144028
Churachandpur,271274
Tamenglong,140143
Jiribam,43818
Kangpokpi,
Kakching,135481
Tengnoupal,
Kamjong,45616
Noney,
Pherzawl,47250
North Garo Hills,118325
East Garo Hills,199592
South Garo Hills,142334
West Garo Hills,472497
South West Garo Hills,172495
West Jaintia Hills,270352
East Jaintia Hills,122939
East Khasi Hills,825922
West Khasi Hills,252010
South West Khasi Hills,110152
Eastern West Khasi Hills,131451
Ri-Bhoi,258840
Aizawl,400309
Champhai,125745
Hnahthial,28468
Khawzawl,42355
Kolasib,83955
Lawngtlai,117894
Lunglei,161428
Mamit,86364
Saiha,56574
Saitual,63685
Serchhip,64937
Chümoukedima,125400
Dimapur,170000
Kiphire,74004
Kohima,267988
Longleng,50484
Meluri,22558
Mokokchung,194622
Mon,250260
Niuland,11876
Noklak,59300
Peren,95219
Phek,163418
Shamator,12726
Tseminyü,63629
Tuensang,137296
Wokha,166343
Zünheboto,140757
Angul,1273821
Balangir,1648997
Balasore,2320529
Bargarh,1481255
Bhadrak,1506337
Boudh,441162
Cuttack,2624470
Debagarh,312520
Dhenkanal,1192811
Gajapati,577817
Ganjam,3529031
Jagatsinghapur,1136971
Jajpur,1827192
Jharsuguda,579505
Kalahandi,1576869
Kandhamal,733110
Kendrapara,1440361
Kendujhar,1801733
Khordha,2251673
Koraput,1379647
Malkangiri,613192
Mayurbhanj,2519738
Nabarangpur,1220946
Nayagarh,962789
Nuapada,610382
Puri,1698730
Rayagada,967911
Sambalpur,1041099
Subarnapur,610183
Sundargarh,2093437
Karaikal,"200,222"
Mahé,"41,934"
Pondicherry,"946,600"
Yanam,"55,616"
Amritsar,2490891
Barnala,596294
Bathinda,1388859
Faridkot,618008
Fatehgarh Sahib,599814
Firozpur,965337
Fazilka[4],1180483
Gurdaspur,2299026
Hoshiarpur,1582793
Jalandhar,2181753
Kapurthala,817668
Ludhiana,3487882
Malerkotla,452016
Mansa,768808
Moga,992289
Sri Muktsar Sahib,902702
Pathankot,676598
Patiala,1892282
Rupnagar,683349
Sahibzada Ajit Singh Nagar,986147
Sangrur,1203153
Shaheed Bhagat Singh Nagar,614362
Tarn Taran,1120070
Ajmer,1531974
Alwar,2015275
Balotra,1115751
Banswara,1798194
Baran,1223921
Barmer,1488000
Beawar,1094918
Bharatpur,1475707
Bhilwara,1589543
Bikaner,2367745
Bundi,1113725
Chittorgarh,1544392
Churu,2041172
Dausa,1637226
Deeg,1072755
Didwana-Kuchaman,1625837
Dholpur,1207293
Dungarpur,1388906
Hanumangarh,1774692
Jaipur,6046835
Jaisalmer,669919
Jalore,1828730
Jhalawar,1411129
Jhunjhunu,2137045
Jodhpur,2955582
Karauli,1458248
Khairthal-Tijara,966821
Kotputli-Behror,1271426
Kota,1951014
Nagaur,1605543
Pali,1605543
Phalodi,731583
Pratapgarh,867848
Rajsamand,1156597
Salumbar,570775
Sawai Madhopur,1335551
Sikar,2677333
Sirohi,1036346
Sri Ganganagar,1969168
Tonk,1421326
Udaipur,2497645
Gangtok,"281,293"
Mangan,"43,354"
Pakyong,"74,583"
Soreng,"64,760"
Namchi,"146,742"
Gyalshing,"136,299"
Ariyalur,754894
Chengalpattu,2556244
Chennai (formerly Madras),6748026
Coimbatore,3458045
Cuddalore,2605914
Dharmapuri,1506843
Dindigul,2159775
Erode,2251744
Kallakurichi,1370281
Kancheepuram,1166401
Kanyakumari,1870374
Karur,1064493
Krishnagiri,1883731
Madurai,3038252
Mayiladuthurai,918356
Nagapattinam,697069
Namakkal,1726601
Nilgiris,735394
Perambalur,565223
Pudukkottai,1618345
Ramanathapuram,1353445
Ranipet,1210277
Salem,3482056
Sivaganga,1339101
Tenkasi,1407627
Thanjavur,2405890
Theni,1245899
Thoothukudi,1750176
Tiruchirappalli,2722290
Tirunelveli,1665253
Tirupathur,1111812
Tiruppur,2479052
Tiruvallur,3728104
Tiruvannamalai,2464875
Tiruvarur,1264277
Vellore,1614242
Viluppuram,2093003
Virudhunagar,1942288
Adilabad,708972
Kumuram Bheem Asifabad,515812
Mancherial,807037
Nirmal,709418
Nizamabad,1571022
Jagtial,985417
Peddapalli,795332
Kamareddy,972625
Rajanna Sircilla,552037
Karimnagar,1005711
Jayashankar Bhupalpally,416763
Sangareddy,1527628
Medak,767428
Siddipet,1012065
Jangaon,566376
Hanumakonda,1080858
Warangal,718537
Mulugu,257744
Bhadradri kothagudem,1069261
Khammam,1401639
Mahabubabad,774549
Suryapet,1099560
Nalgonda,1618416
Yadadri Bhuvanagiri[11],739448
Medchalâ€“Malkajgiri,2440073
Hyderabad,3943323
Ranga Reddy,2446265
Vikarabad,927140
Narayanpet,566874
Mahabubnagar,919903
Nagarkurnool,893308
Wanaparthy,577758
Jogulamba Gadwal,609990
Dhalai,378000
Gomati,441538
Khowai,327564
Sipahijala,479975
Unakoti,298574
North Tripura,415946
South Tripura,453079
West Tripura,918200
Agra,4418797
Aligarh,3673889
Ambedkar Nagar,2397888
Ayodhya,2470996
Amethi,2050133
Amroha,1840221
Auraiya,1379545
Azamgarh,4613913
Budaun,3127621
Bagpat,1303048
Bahraich,3487731
Ballia,3239774
Balrampur,2148665
Banda,1799410
Barabanki,3260699
Bareilly,4448359
Basti,2464464
Bijnor,3682713
Bulandshahr,3499171
Chandauli,1952756
Chitrakoot,991730
Deoria,3100946
Etah,1774480
Etawah,1581810
Farrukhabad,1885204
Fatehpur,2632733
Firozabad,2498156
Gautam Buddha Nagar,1648115
Ghaziabad,3343334
Ghazipur,3620268
Gonda,3433919
Gorakhpur,4440895
Hamirpur,1104285
Hapur,1338311
Hardoi,4092845
Hathras,1564708
Jalaun,1689974
Jaunpur,4494204
Jhansi,1998603
Kannauj,1656616
Kanpur Dehat,1796184
Kanpur Nagar,4581268
Kasganj,1436719
Kaushambi,1599596
Kushinagar,4021243
Lakhimpur Kheri,3564544
Lalitpur,1221592
Lucknow,4589838
Maharajganj,2684703
Mahoba,875958
Mainpuri,1868529
Mathura,2547184
Mau,2205968
Meerut,3443689
Mirzapur,2496970
Moradabad,3126507
Muzaffarnagar,2869934
Pilibhit,2031007
Pratapgarh,3209141
Prayagraj,5954391
Rae Bareli,2903507
Rampur,2335819
Saharanpur,3466382
Sant Kabir Nagar,2199774
Bhadohi,1715183
Sambhal,1578213
Shahjahanpur,3006538
Shamli,1273578
Shravasti,1117361
Siddharthnagar,2559297
Sitapur,4483992
Sonbhadra,1862559
Sultanpur,2249036
Unnao,3108367
Varanasi,3676841
Almora,621972
Bageshwar,259840
Chamoli,391114
Champawat,259315
Dehradun,1695860
Haridwar,1927029
Nainital,955128
Pauri Garhwal,686572
Pithoragarh,485993
Rudraprayag,236857
Tehri Garhwal,616409
Udham Singh Nagar,1648367
Uttarkashi,329686
Alipurduar,1491250
Bankura,3596674
Paschim Bardhaman,2882031
Purba Bardhaman,4835532
Birbhum,3502404
Cooch Behar,2819086
Darjeeling,1595181
Dakshin Dinajpur,1676276
Hooghly,5519145
Howrah,4850029
Jalpaiguri,2381596
Jhargram,1136548
Kolkata,4496694
Kalimpong,251642
Malda,3988845
Paschim Medinipur,4776909
Purba Medinipur,5095875
Murshidabad,7103807
Nadia,5167601
North 24 Parganas,10009781
South 24 Parganas,8161961
Purulia,2930115
Uttar Dinajpur,3007134
