S.No.,State Code,State Name,District Code,District Name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Non_Workers,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households
11,28,Andhra Pradesh,505,East Godavari,545,5154296,2569688,2584608,3288577,1716933,1571644,2093681,1545831,547850,3060615,479914,1297273,22411,93784,1199479,406362,669420,947606,797497,521562,271809,263023,3518619,1524603,5043222,2724328,1478954,948122,869294,869464,800168,121195,342767,4440,6523,11217,27864,558347,613789,5684,908806,40397,95856,239150,335006,275218,952492,468704,208570,112434,7478,235274,1085890,85895,6477,7007,450,80,228618
12,28,Andhra Pradesh,748,Eluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,28,Andhra Pradesh,506,Guntur,548,4887813,2440521,2447292,2960441,1634726,1325715,2381624,1442370,939254,2506189,648568,1186028,19383,80434,1069877,513113,736270,845810,674957,453446,246580,221924,3209266,1474349,4683615,2583462,1371811,928462,917356,904201,762845,67710,428749,1299,4238,35872,47242,465404,554667,5833,739450,73453,83026,212589,295615,229537,842985,413160,200288,139120,10111,267760,972992,117838,10388,11313,821,104,185688
14,28,Andhra Pradesh,746,Kakinada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,28,Andhra Pradesh,510,Krishna,547,4517398,2267375,2250023,3009718,1598959,1410759,2048880,1327299,721581,2468518,632890,1163932,30438,101450,909292,567042,618101,692968,630603,531821,312753,328454,3169428,1352499,4521927,2340943,1284630,833959,838939,897201,863417,87080,205072,1490,1097,17143,26322,387804,611878,6592,903992,43371,81004,218150,299154,235751,824868,417156,171961,95350,7885,227575,955030,81787,6370,6886,449,67,183554
16,28,Andhra Pradesh,511,Kurnool,552,4053463,2039227,2014236,2127161,1246369,880792,2029425,1164122,865303,2024038,195001,816721,10081,56478,783853,306982,521327,672951,466940,271828,152453,115504,2220285,1517933,3738218,2368684,1053618,609027,752035,702120,353289,17204,138946,5694,6352,5342,20685,431425,227045,3297,696977,38696,29425,86663,116088,120568,547505,238908,188029,181675,31914,218712,652567,109416,18819,22549,3071,659,92650
17,28,Andhra Pradesh,755,Nandyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,28,Andhra Pradesh,749,Ntr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,28,Andhra Pradesh,751,Palnadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,28,Andhra Pradesh,743,Parvathipuram Manyam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,28,Andhra Pradesh,517,Prakasam,549,3397448,1714764,1682684,1904435,1107686,796749,1700567,991842,708725,1696881,290947,763746,6151,43611,873486,214089,489805,495556,368919,249034,142026,133627,1900943,1218310,3119253,1832695,917391,641707,518496,528518,321332,91097,244709,3379,2055,24112,36075,406577,197300,6529,481021,78693,51012,130198,181210,144923,548015,251635,151457,115932,12119,253399,643184,89358,10022,11413,1186,205,113321
22,28,Andhra Pradesh,519,Srikakulam,542,2703114,1341738,1361376,1495381,857824,637557,1290288,766483,523805,1412826,149554,615432,3988,32280,752752,149684,291793,348354,319244,251521,146721,121213,1499877,1009992,2509869,1423119,747385,528736,548681,178089,146386,199161,282509,2719,10077,3531,17894,394989,107308,1567,179917,85253,42847,86481,129328,118149,464451,224481,121821,85869,9675,187026,506897,66546,7462,8385,811,112,107495
