S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
94,10.0,Bihar,189.0,Aurangabad,10100,3701282,286.83
95,10.0,Bihar,190.0,Banka,3018,2034763,533
96,10.0,Bihar,191.0,Begusarai,1917,2970541,1222
97,10.0,Bihar,192.0,Bhagalpur,2569,3037766,946
98,10.0,Bihar,193.0,Bhojpur,2473,2728407,903
99,10.0,Bihar,194.0,Buxar,1624,1706352,864
100,10.0,Bihar,195.0,Darbhanga,2278,3937385,1442
101,10.0,Bihar,196.0,Gaya,4978,4391418,696
102,10.0,Bihar,197.0,Gopalganj,2033,2562012,1057
103,10.0,Bihar,198.0,Jamui,3099,1760405,451
104,10.0,Bihar,199.0,Jehanabad,1569,1125313,963
105,10.0,Bihar,200.0,Kaimur (Bhabua),,,
106,10.0,Bihar,201.0,Katihar,3056,3071029,782
107,10.0,Bihar,202.0,Khagaria,1486,1666886,859
108,10.0,Bihar,203.0,Kishanganj,1884,1690400,687
109,10.0,Bihar,204.0,Lakhisarai,1229,1000912,652
110,10.0,Bihar,205.0,Madhepura,1787,2001762,853
111,10.0,Bihar,206.0,Madhubani,3501,4487379,1020
112,10.0,Bihar,207.0,Munger,1419,1367765,800
113,10.0,Bihar,208.0,Muzaffarpur,3173,4801062,1180
114,10.0,Bihar,209.0,Nalanda,2354,2877653,1006
115,10.0,Bihar,210.0,Nawada,2492,2219146,726
116,10.0,Bihar,211.0,Pashchim Champaran,,,
117,10.0,Bihar,212.0,Patna,3202,5838465,1471
118,10.0,Bihar,213.0,Purbi Champaran,,,
119,10.0,Bihar,214.0,Purnia,3228,3264619,787
120,10.0,Bihar,215.0,Rohtas,3850,2959918,636
121,10.0,Bihar,216.0,Saharsa,1702,1900661,885
122,10.0,Bihar,217.0,Samastipur,2905,4261566,1175
123,10.0,Bihar,218.0,Saran,2641,3951862,1231
124,10.0,Bihar,219.0,Sheikhpura,689,634927,762
125,10.0,Bihar,220.0,Sheohar,349,656246,1880
126,10.0,Bihar,221.0,Sitamarhi,2199,3423574,1214
127,10.0,Bihar,222.0,Siwan,2219,3330464,1221
128,10.0,Bihar,223.0,Supaul,2410,2229076,724
129,10.0,Bihar,224.0,Vaishali,2036,3495021,1332
