S.No.,State Code,State Name,District Code,District Name,Area (km2)[5],Population (2011)[5],Population density (per km2)
105,10,Bihar,200,Kaimur (Bhabua),,,
106,10,Bihar,201,Katihar,3056,3071029,782
107,10,Bihar,202,Khagaria,1486,1666886,859
108,10,Bihar,203,Kishanganj,1884,1690400,687
109,10,Bihar,204,Lakhisarai,1229,1000912,652
110,10,Bihar,205,Madhepura,1787,2001762,853
111,10,Bihar,206,Madhubani,3501,4487379,1020
112,10,Bihar,207,Munger,1419,1367765,800
113,10,Bihar,208,Muzaffarpur,3173,4801062,1180
114,10,Bihar,209,Nalanda,2354,2877653,1006
115,10,Bihar,210,Nawada,2492,2219146,726
116,10,Bihar,211,Pashchim Champaran,,,
117,10,Bihar,212,Patna,3202,5838465,1471
118,10,Bihar,213,Purbi Champaran,,,
119,10,Bihar,214,Purnia,3228,3264619,787
120,10,Bihar,215,Rohtas,3850,2959918,636
121,10,Bihar,216,Saharsa,1702,1900661,885
122,10,Bihar,217,Samastipur,2905,4261566,1175
123,10,Bihar,218,Saran,2641,3951862,1231
124,10,Bihar,219,Sheikhpura,689,634927,762
125,10,Bihar,220,Sheohar,349,656246,1880
126,10,Bihar,221,Sitamarhi,2199,3423574,1214
127,10,Bihar,222,Siwan,2219,3330464,1221
128,10,Bihar,223,Supaul,2410,2229076,724
129,10,Bihar,224,Vaishali,2036,3495021,1332
130,4,Chandigarh,44,Chandigarh,,,
131,22,Chhattisgarh,646,Balod,3527,826165,234
132,22,Chhattisgarh,644,Balodabazar-Bhatapara,,,
133,22,Chhattisgarh,649,Balrampur-Ramanujganj,,,
134,22,Chhattisgarh,374,Bastar,6596.9,834873,213
135,22,Chhattisgarh,650,Bemetara,2854.81,795759,279
136,22,Chhattisgarh,636,Bijapur,6552.96,255230,39
137,22,Chhattisgarh,375,Bilaspur,3511.1,1625502,463
137,22,Chhattisgarh,375,Bilaspur,1167,381956,327
138,22,Chhattisgarh,376,Dakshin Bastar Dantewada,,,
139,22,Chhattisgarh,377,Dhamtari,4081.93,799781,196
140,22,Chhattisgarh,378,Durg,2319.99,1721948,742
141,22,Chhattisgarh,645,Gariaband,5854.94,597653,103
142,22,Chhattisgarh,734,Gaurella-Pendra-Marwahi,2307.39,336420,166
143,22,Chhattisgarh,379,Janjgir-Champa,4466.74,966671,360
144,22,Chhattisgarh,380,Jashpur,6457.41,851669,132
145,22,Chhattisgarh,382,Kabeerdham,,,
146,22,Chhattisgarh,759,Khairagarh-Chhuikhadan-Gandai,-,368444,-
147,22,Chhattisgarh,643,Kondagaon,6050.73,578326,96
148,22,Chhattisgarh,383,Korba,7145.44,1206640,169
149,22,Chhattisgarh,384,Korea,,,
150,22,Chhattisgarh,385,Mahasamund,4963.01,1032754,208
151,22,Chhattisgarh,760,Manendragarh-Chirmiri-Bharatpur(M C B),,,
152,22,Chhattisgarh,761,Mohla-Manpur- Ambagarh Chowki,-,283947,-
153,22,Chhattisgarh,647,Mungeli,2750.36,701707,255
154,22,Chhattisgarh,637,Narayanpur,6922.68,139820,20
155,22,Chhattisgarh,386,Raigarh,-,1112982,-
156,22,Chhattisgarh,387,Raipur,2914.37,2160876,742
157,22,Chhattisgarh,388,Rajnandgaon,8070,884742,110
158,22,Chhattisgarh,762,Sakti,-,653036,-
159,22,Chhattisgarh,763,Sarangarh-Bilaigarh,-,607434,-
160,22,Chhattisgarh,642,Sukma,5767.02,250159,43
161,22,Chhattisgarh,648,Surajpur,4998.26,789043,158
162,22,Chhattisgarh,389,Surguja,5019.8,840352,167
163,22,Chhattisgarh,381,Uttar Bastar Kanker,,,
164,7,Delhi,77,Central,,,
165,7,Delhi,78,East,,,
166,7,Delhi,79,New Delhi,35,133713,
167,7,Delhi,80,North,,,
168,7,Delhi,81,North East,,,
169,7,Delhi,82,North West,,,
170,7,Delhi,671,Shahdara,59.75,322931,
171,7,Delhi,83,South,,,
172,7,Delhi,670,South East,,,
173,7,Delhi,84,South West,,,
174,7,Delhi,85,West,,,
175,30,Goa,551,North Goa,"1,736","817,761",471
176,30,Goa,552,South Goa,"1,966","639,962",326
177,24,Gujarat,438,Ahmedabad,,,
178,24,Gujarat,439,Amreli,,1513614,
179,24,Gujarat,440,Anand,,2090276,
180,24,Gujarat,672,Arvalli,,,
181,24,Gujarat,441,Banas Kantha,,,
182,24,Gujarat,442,Bharuch,,1550822,
183,24,Gujarat,443,Bhavnagar,,2393272,
184,24,Gujarat,676,Botad,,656005,
185,24,Gujarat,668,Chhotaudepur,,,
186,24,Gujarat,445,Dahod,,2126558,
187,24,Gujarat,444,Dangs,,,
188,24,Gujarat,674,Devbhumi Dwarka,,,
189,24,Gujarat,446,Gandhinagar,,1387478,
190,24,Gujarat,675,Gir Somnath,,,
191,24,Gujarat,447,Jamnagar,,1407635,
192,24,Gujarat,448,Junagadh,,1525605,
193,24,Gujarat,449,Kachchh,,,
194,24,Gujarat,450,Kheda,,,
195,24,Gujarat,451,Mahesana,,,
196,24,Gujarat,669,Mahisagar,,,
197,24,Gujarat,673,Morbi,,960329,
198,24,Gujarat,452,Narmada,,,
199,24,Gujarat,453,Navsari,,1330711,
200,24,Gujarat,454,Panch Mahals,,,
201,24,Gujarat,455,Patan,,1342746,
202,24,Gujarat,456,Porbandar,,586062,
203,24,Gujarat,457,Rajkot,,3015229,
204,24,Gujarat,458,Sabar Kantha,,,
205,24,Gujarat,459,Surat,,,
206,24,Gujarat,460,Surendranagar,,1585268,
207,24,Gujarat,641,Tapi,,,
208,24,Gujarat,461,Vadodara,,,
